pitcher_name,team_abb,season,era,fip,xfip,k_per_9,bb_per_9,k_pct,bb_pct,whip,ip,hr_per_9,gb_pct,lob_pct,war,fangraphs_id
Tyler Ferguson,OAK,2024,3.68,3.28,3.77,10.87,4.21,0.3,0.11599999999999999,1.09,51.1,0.7,0.373,0.6679999999999999,0.7,19481
Randy Vasquez,SDP,2024,4.87,4.7,4.9,5.69,2.66,0.14400000000000002,0.067,1.51,98.0,1.19,0.387,0.722,0.7,24719
Spencer Turnbull,PHI,2024,2.65,3.85,3.8,9.61,3.31,0.261,0.09,1.05,54.1,0.99,0.475,0.84,0.7,16207
Shawn Armstrong,- - -,2024,4.86,3.57,4.19,8.91,3.38,0.22399999999999998,0.085,1.53,66.2,0.81,0.358,0.69,0.7,12857
Jesus Luzardo,MIA,2024,5.0,4.26,4.23,7.83,2.97,0.212,0.08,1.25,66.2,1.22,0.37,0.6629999999999999,0.7,19959
Andrew Nardi,MIA,2024,5.07,3.33,3.35,12.68,3.26,0.33299999999999996,0.086,1.25,49.2,1.27,0.317,0.639,0.7,25942
Robert Gasser,MIL,2024,2.57,3.38,4.18,5.14,0.32,0.14,0.009000000000000001,1.04,28.0,0.64,0.43,0.7879999999999999,0.7,29812
Jacob Webb,BAL,2024,3.02,3.52,4.31,9.21,4.29,0.245,0.114,1.18,56.2,0.64,0.34,0.721,0.7,19274
Hunter Stratton,PIT,2024,3.58,3.25,3.98,7.88,1.67,0.209,0.044000000000000004,1.17,37.2,0.72,0.37799999999999995,0.701,0.7,23455
Hunter Harvey,- - -,2024,4.44,3.52,3.52,9.77,2.84,0.251,0.073,1.32,50.2,0.89,0.447,0.677,0.7,15507
Clayton Kershaw,LAD,2024,4.5,3.53,4.33,7.2,2.7,0.18,0.068,1.5,30.0,0.6,0.385,0.633,0.7,2036
Cionel Perez,BAL,2024,4.53,3.3,4.59,7.71,4.7,0.193,0.11800000000000001,1.4,53.2,0.0,0.5579999999999999,0.638,0.7,19614
Jesus Tinoco,- - -,2024,3.32,3.17,3.73,9.3,2.66,0.259,0.07400000000000001,0.96,40.2,0.66,0.467,0.7140000000000001,0.7,16300
Michel Otanez,OAK,2024,3.44,2.73,3.38,14.56,5.29,0.364,0.132,1.38,34.0,0.53,0.384,0.742,0.7,22533
Ryan Fernandez,STL,2024,3.51,3.35,3.9,9.59,4.32,0.249,0.11199999999999999,1.35,66.2,0.54,0.429,0.718,0.7,24862
Jordan Montgomery,ARI,2024,6.23,4.48,4.67,6.38,3.38,0.156,0.083,1.65,117.0,1.08,0.423,0.639,0.6,16511
Jalen Beeks,- - -,2024,4.5,4.0,4.65,7.07,3.47,0.17600000000000002,0.087,1.49,70.0,0.77,0.451,0.659,0.6,17192
Dylan Floro,- - -,2024,3.8,3.5,4.1,6.29,2.23,0.172,0.061,1.19,68.2,0.66,0.455,0.684,0.6,13394
Carmen Mlodzinski,PIT,2024,3.38,3.36,4.18,8.17,3.38,0.22,0.091,1.18,50.2,0.53,0.461,0.6920000000000001,0.6,27572
Merrill Kelly,ARI,2024,4.03,4.25,3.89,7.7,2.32,0.21,0.063,1.17,73.2,1.34,0.425,0.73,0.6,11156
Yennier Cano,BAL,2024,3.15,3.55,3.08,9.75,3.6,0.261,0.096,1.3,60.0,0.9,0.629,0.779,0.6,25911
Trent Thornton,SEA,2024,3.61,3.47,3.56,9.58,2.36,0.262,0.065,1.13,72.1,1.0,0.381,0.726,0.6,17948
Michael Tonkin,- - -,2024,3.63,3.44,3.89,9.64,3.4,0.25,0.08800000000000001,1.26,79.1,0.68,0.41,0.653,0.6,10315
Edward Cabrera,MIA,2024,4.95,4.68,3.94,10.0,4.67,0.256,0.12,1.37,96.1,1.4,0.47,0.664,0.6,21690
Reid Detmers,LAA,2024,6.7,4.72,3.86,11.23,3.92,0.27899999999999997,0.09699999999999999,1.56,87.1,1.85,0.38299999999999995,0.629,0.6,27468
Michael McGreevy,STL,2024,1.96,2.56,2.72,7.04,0.78,0.209,0.023,0.78,23.0,0.39,0.625,0.795,0.6,29869
Andres Munoz,SEA,2024,2.12,3.35,2.98,11.68,3.94,0.332,0.11199999999999999,0.96,59.1,0.91,0.524,0.853,0.6,20373
Tyler Rogers,SFG,2024,2.82,3.56,3.69,6.53,0.77,0.17600000000000002,0.021,1.04,70.1,0.9,0.545,0.812,0.6,15541
Anthony Banda,LAD,2024,3.08,3.67,3.88,9.06,3.26,0.239,0.086,1.25,49.2,0.91,0.444,0.789,0.6,14706
Pete Fairbanks,TBR,2024,3.57,3.5,3.88,8.74,3.38,0.23800000000000002,0.092,1.17,45.1,0.79,0.434,0.696,0.6,17998
Ben Joyce,LAA,2024,2.08,3.2,3.69,8.57,3.63,0.23199999999999998,0.099,1.15,34.2,0.26,0.589,0.845,0.6,31461
Bryan Hoeing,- - -,2024,2.18,3.32,3.5,7.21,2.35,0.205,0.067,1.06,53.2,0.67,0.483,0.8170000000000001,0.6,26304
Max Scherzer,TEX,2024,3.95,4.18,4.04,8.31,2.08,0.226,0.055999999999999994,1.15,43.1,1.45,0.32,0.752,0.6,3137
Jack Kochanowicz,LAA,2024,3.99,4.62,4.48,3.44,1.38,0.094,0.038,1.19,65.1,0.96,0.57,0.735,0.6,27688
Jose Alvarado,PHI,2024,4.09,3.8,3.81,9.19,4.09,0.244,0.109,1.25,61.2,0.88,0.46,0.69,0.6,17780
Braxton Garrett,MIA,2024,5.35,3.82,3.49,8.27,0.97,0.21100000000000002,0.025,1.19,37.0,1.22,0.513,0.595,0.6,21844
Aaron Ashby,MIL,2024,2.86,2.81,2.86,10.48,3.18,0.27699999999999997,0.084,1.06,28.1,0.64,0.5870000000000001,0.625,0.6,23550
Jose A. Ferrer,WSN,2024,3.38,2.76,3.54,7.03,1.69,0.19399999999999998,0.047,1.03,32.0,0.28,0.573,0.685,0.6,24017
Huascar Brazoban,- - -,2024,3.83,3.32,4.08,8.88,4.35,0.235,0.115,1.22,51.2,0.35,0.457,0.633,0.6,6107
Ian Hamilton,NYY,2024,3.82,3.03,3.71,9.8,3.35,0.252,0.086,1.35,37.2,0.48,0.43799999999999994,0.723,0.6,19261
Davis Martin,CHW,2024,4.32,4.27,4.57,8.46,4.14,0.214,0.105,1.46,50.0,0.9,0.45799999999999996,0.746,0.6,21448
Cal Quantrill,COL,2024,4.98,5.32,4.87,6.67,4.19,0.168,0.105,1.52,148.1,1.4,0.444,0.7509999999999999,0.5,19312
Pierce Johnson,ATL,2024,3.67,3.61,3.65,10.7,3.99,0.284,0.106,1.3,56.1,0.96,0.451,0.7509999999999999,0.5,13435
