game_date,home_team,away_team,home_win_prob,ml_pred,actual_win,ml_correct,predicted_total,actual_total,ou_error,home_covers_prob,rl_pred,actual_rl,rl_correct
2024-04-13,HOU,TEX,0.6842,1,1,1,8.0,11.0,-3.0,0.5315,1,1,1
2024-04-13,CWS,CIN,0.6842,1,0,0,8.69,5.0,3.69,0.5315,1,0,0
2024-04-13,AZ,STL,0.5233,1,1,1,8.45,6.0,2.45,0.2941,0,1,0
2024-04-13,DET,MIN,0.3657,0,0,1,9.24,5.0,4.24,0.2941,0,0,1
2024-04-13,DET,MIN,0.3657,0,0,1,8.12,16.0,-7.88,0.2941,0,0,1
2024-04-13,CLE,NYY,0.3657,0,0,1,9.66,10.0,-0.34,0.1356,0,0,1
2024-04-13,CLE,NYY,0.3077,0,0,1,9.19,5.0,4.19,0.1356,0,0,1
2024-04-13,CLE,NYY,0.3077,0,0,1,9.19,,,0.1356,0,0,1
2024-04-13,NYM,KC,0.4947,0,0,1,8.32,18.0,-9.68,0.5315,1,0,0
2024-04-13,DET,MIN,0.4947,0,0,1,6.59,,,0.3295,0,0,1
2024-04-14,LAD,SD,0.4947,0,0,1,9.03,9.0,0.03,0.3295,0,0,1
2024-04-14,AZ,STL,0.525,1,1,1,8.5,5.0,3.5,0.5315,1,1,1
2024-04-14,SEA,CHC,0.5814,1,0,0,6.28,5.0,1.28,0.3295,0,0,1
2024-04-14,OAK,WSH,0.3077,0,1,0,8.68,13.0,-4.32,0.1356,0,0,1
2024-04-14,CWS,CIN,0.4947,0,0,1,9.59,15.0,-5.41,0.3295,0,0,1
2024-04-14,HOU,TEX,0.5364,1,1,1,8.07,13.0,-4.93,0.3295,0,1,0
2024-04-14,CLE,NYY,0.3657,0,1,0,8.65,15.0,-6.35,0.2453,0,0,1
2024-04-14,MIA,ATL,0.3657,0,0,1,10.52,16.0,-5.48,0.2453,0,0,1
2024-04-14,DET,MIN,0.5233,1,1,1,7.81,7.0,0.81,0.3295,0,0,1
2024-04-14,NYM,KC,0.4947,0,1,0,6.82,3.0,3.82,0.3295,0,0,1
2024-04-14,TOR,COL,0.4973,0,1,0,8.13,5.0,3.13,0.3295,0,1,0
2024-04-14,BAL,MIL,0.5814,1,1,1,8.58,10.0,-1.42,0.3295,0,1,0
2024-04-14,PHI,PIT,0.5364,1,0,0,8.04,11.0,-2.96,0.5315,1,0,0
2024-04-14,BOS,LAA,0.5364,1,1,1,10.21,9.0,1.21,0.5315,1,0,0
